ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
483,Southampton - Possessions,3367.779835,3372.246776,Final third,Center,Final third,Center,Short,4 or less,,,85,29,0,5-4-1,13,28,18. Mateus Fernandes,
484,Southampton - Set Pieces,3367.779835,3372.246776,Final third,Center,Final third,Center,Short,4 or less,,,85,29,0,5-4-1,13,28,18. Mateus Fernandes,
485,Southampton - Free kicks,3367.779835,3372.246776,Final third,Center,Final third,Center,Short,4 or less,,,85,29,0,5-4-1,13,28,18. Mateus Fernandes,
486,Ball in play,3369.246776,3375.876927,Own third,Center,Own third,Center,Short,5-9,,,13,28,7,4-2-3-1,75,33,"17. Zinchenko, 41. Rice, 23. Mikel Merino",Low
487,Arsenal - Possessions,3369.246776,3375.876927,Own third,Center,Own third,Center,Short,5-9,,,13,28,7,4-2-3-1,75,33,"17. Zinchenko, 41. Rice, 23. Mikel Merino",Low
488,Ball in play,3375.866927,3384.344718,Final third,Center,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,75,33,5,5-4-1,3,33,"18. Mateus Fernandes, 46. Robinson",High
489,Southampton - Possessions,3375.866927,3384.344718,Final third,Center,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,75,33,5,5-4-1,3,33,"18. Mateus Fernandes, 46. Robinson",High
490,Southampton - Highlights,3375.866927,3384.344718,Final third,Center,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,75,33,5,5-4-1,3,33,"18. Mateus Fernandes, 46. Robinson",High
491,Southampton - Open play attacks,3375.866927,3384.344718,Final third,Center,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,75,33,5,5-4-1,3,33,"18. Mateus Fernandes, 46. Robinson",High
492,Southampton - Shots,3375.866927,3384.344718,Final third,Center,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,75,33,5,5-4-1,3,33,"18. Mateus Fernandes, 46. Robinson",High
493,Ball in play,3381.344718,3387.554142,Own third,Center,Own third,Right flank,Short,4 or less,,,3,33,3,4-2-3-1,105,16,22. David Raya,
494,Arsenal - Possessions,3381.344718,3387.554142,Own third,Center,Own third,Right flank,Short,4 or less,,,3,33,3,4-2-3-1,105,16,22. David Raya,
495,Ball in play,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
496,Southampton - Possessions,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
