ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
382,Arsenal - Possessions,2706.936117,2750.687405,Own third,Center,Final third,Center,Long,15 or more,,,29,24,42,4-2-3-1,8,23,"4. White, 15. Kiwior, 5. Partey, 17. Zinchenko, 3. Tierney, 30. Sterling, 11. Gabriel Martinelli, 23. Mikel Merino",
383,Arsenal - Open play attacks,2706.936117,2750.687405,Own third,Center,Final third,Center,Long,15 or more,,,29,24,42,4-2-3-1,8,23,"4. White, 15. Kiwior, 5. Partey, 17. Zinchenko, 3. Tierney, 30. Sterling, 11. Gabriel Martinelli, 23. Mikel Merino",
384,Ball in play,2750.677405,2766.255535,Own third,Center,Final third,Left flank,Medium,4 or less,Shot,less than 0.1,8,23,12,5-4-1,13,50,"21. Taylor, 20. Sulemana",Low
385,Southampton - Possessions,2750.677405,2766.255535,Own third,Center,Final third,Left flank,Medium,4 or less,Shot,less than 0.1,8,23,12,5-4-1,13,50,"21. Taylor, 20. Sulemana",Low
386,Southampton - Open play attacks,2750.677405,2766.255535,Own third,Center,Final third,Left flank,Medium,4 or less,Shot,less than 0.1,8,23,12,5-4-1,13,50,"21. Taylor, 20. Sulemana",Low
387,Southampton - Counterattacks,2750.677405,2766.255535,Own third,Center,Final third,Left flank,Medium,4 or less,Shot,less than 0.1,8,23,12,5-4-1,13,50,"21. Taylor, 20. Sulemana",Low
388,Southampton - Shots,2750.677405,2766.255535,Own third,Center,Final third,Left flank,Medium,4 or less,Shot,less than 0.1,8,23,12,5-4-1,13,50,"21. Taylor, 20. Sulemana",Low
389,Ball in play,2763.255535,2764.680572,Own third,Right flank,Own third,Center,Short,4 or less,,,13,50,1,4-2-3-1,97,24,15. Kiwior,
390,Arsenal - Possessions,2763.255535,2764.680572,Own third,Right flank,Own third,Center,Short,4 or less,,,13,50,1,4-2-3-1,97,24,15. Kiwior,
391,Ball in play,2764.670572,2765.584679,Final third,Center,Final third,Center,Short,4 or less,Shot,from 0.1 to 0.35,97,24,1,5-4-1,105,12,20. Sulemana,
392,Southampton - Possessions,2764.670572,2765.584679,Final third,Center,Final third,Center,Short,4 or less,Shot,from 0.1 to 0.35,97,24,1,5-4-1,105,12,20. Sulemana,
393,Southampton - Highlights,2764.670572,2765.584679,Final third,Center,Final third,Center,Short,4 or less,Shot,from 0.1 to 0.35,97,24,1,5-4-1,105,12,20. Sulemana,
394,Southampton - Open play attacks,2764.670572,2765.584679,Final third,Center,Final third,Center,Short,4 or less,Shot,from 0.1 to 0.35,97,24,1,5-4-1,105,12,20. Sulemana,
395,Southampton - Shots,2764.670572,2765.584679,Final third,Center,Final third,Center,Short,4 or less,Shot,from 0.1 to 0.35,97,24,1,5-4-1,105,12,20. Sulemana,
396,Ball in play,2766.0,2767.01,Own third,Center,Own third,Center,Short,4 or less,,,0,36,0,4-2-3-1,0,36,,
397,Arsenal - Possessions,2766.0,2767.01,Own third,Center,Own third,Center,Short,4 or less,,,0,36,0,4-2-3-1,0,36,,
398,Ball in play,2770.376426,2776.90674,Middle third,Center,Final third,Left flank,Short,4 or less,,,54,34,7,5-4-1,24,52,"18. Mateus Fernandes, 30. Ramsdale, 11. Stewart",
399,Southampton - Possessions,2770.376426,2776.90674,Middle third,Center,Final third,Left flank,Short,4 or less,,,54,34,7,5-4-1,24,52,"18. Mateus Fernandes, 30. Ramsdale, 11. Stewart",
400,Ball in play,2776.89674,2779.826586,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,24,52,2,4-2-3-1,64,18,4. White,Low
401,Arsenal - Possessions,2776.89674,2779.826586,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,24,52,2,4-2-3-1,64,18,4. White,Low
402,Ball in play,2779.816586,2794.244091,Middle third,Left flank,Final third,Left flank,Medium,5-9,,,64,18,13,5-4-1,91,0,"4. Downes, 21. Taylor, 30. Ramsdale, 20. Sulemana",
403,Southampton - Possessions,2779.816586,2794.244091,Middle third,Left flank,Final third,Left flank,Medium,5-9,,,64,18,13,5-4-1,91,0,"4. Downes, 21. Taylor, 30. Ramsdale, 20. Sulemana",
404,Ball in play,2809.668319,2817.022109,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,23,68,6,4-2-3-1,62,10,"4. White, 41. Rice, 11. Gabriel Martinelli",
405,Arsenal - Possessions,2809.668319,2817.022109,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,23,68,6,4-2-3-1,62,10,"4. White, 41. Rice, 11. Gabriel Martinelli",
406,Arsenal - Set Pieces,2809.668319,2817.022109,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,23,68,6,4-2-3-1,62,10,"4. White, 41. Rice, 11. Gabriel Martinelli",
407,Arsenal - Throw ins,2809.668319,2817.022109,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,23,68,6,4-2-3-1,62,10,"4. White, 41. Rice, 11. Gabriel Martinelli",
408,Ball in play,2817.012109,2819.316826,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,62,10,1,5-4-1,44,58,21. Taylor,
409,Southampton - Possessions,2817.012109,2819.316826,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,62,10,1,5-4-1,44,58,21. Taylor,
410,Ball in play,2853.124235,2867.032308,Middle third,Left flank,Final third,Right flank,Medium,5-9,,,61,13,13,5-4-1,25,6,"18. Mateus Fernandes, 11. Stewart, 4. Downes, 16. Sugawara, 26. Ugochukwu",
411,Southampton - Possessions,2853.124235,2867.032308,Middle third,Left flank,Final third,Right flank,Medium,5-9,,,61,13,13,5-4-1,25,6,"18. Mateus Fernandes, 11. Stewart, 4. Downes, 16. Sugawara, 26. Ugochukwu",
412,Southampton - Set Pieces,2853.124235,2867.032308,Middle third,Left flank,Final third,Right flank,Medium,5-9,,,61,13,13,5-4-1,25,6,"18. Mateus Fernandes, 11. Stewart, 4. Downes, 16. Sugawara, 26. Ugochukwu",
413,Southampton - Free kicks,2853.124235,2867.032308,Middle third,Left flank,Final third,Right flank,Medium,5-9,,,61,13,13,5-4-1,25,6,"18. Mateus Fernandes, 11. Stewart, 4. Downes, 16. Sugawara, 26. Ugochukwu",
414,Southampton - Crosses,2853.124235,2867.032308,Middle third,Left flank,Final third,Right flank,Medium,5-9,,,61,13,13,5-4-1,25,6,"18. Mateus Fernandes, 11. Stewart, 4. Downes, 16. Sugawara, 26. Ugochukwu",
415,Ball in play,2867.022308,2870.753882,Own third,Left flank,Own third,Left flank,Short,4 or less,,,25,6,2,4-2-3-1,71,68,30. Sterling,
416,Arsenal - Possessions,2867.022308,2870.753882,Own third,Left flank,Own third,Left flank,Short,4 or less,,,25,6,2,4-2-3-1,71,68,30. Sterling,
417,Ball in play,2881.967432,2920.197877,Final third,Right flank,Final third,Center,Long,15 or more,,,79,68,36,5-4-1,30,27,"16. Sugawara, 26. Ugochukwu, 15. Wood, 21. Taylor, 34. Welington, 20. Sulemana, 4. Downes, 18. Mateus Fernandes, 46. Robinson",
418,Southampton - Possessions,2881.967432,2920.197877,Final third,Right flank,Final third,Center,Long,15 or more,,,79,68,36,5-4-1,30,27,"16. Sugawara, 26. Ugochukwu, 15. Wood, 21. Taylor, 34. Welington, 20. Sulemana, 4. Downes, 18. Mateus Fernandes, 46. Robinson",
419,Southampton - Set Pieces,2881.967432,2920.197877,Final third,Right flank,Final third,Center,Long,15 or more,,,79,68,36,5-4-1,30,27,"16. Sugawara, 26. Ugochukwu, 15. Wood, 21. Taylor, 34. Welington, 20. Sulemana, 4. Downes, 18. Mateus Fernandes, 46. Robinson",
420,Southampton - Throw ins,2881.967432,2920.197877,Final third,Right flank,Final third,Center,Long,15 or more,,,79,68,36,5-4-1,30,27,"16. Sugawara, 26. Ugochukwu, 15. Wood, 21. Taylor, 34. Welington, 20. Sulemana, 4. Downes, 18. Mateus Fernandes, 46. Robinson",
421,Ball in play,2920.187877,2939.099301,Own third,Center,Middle third,Left flank,Medium,10-14,,,30,27,19,4-2-3-1,59,52,"15. Kiwior, 5. Partey, 11. Gabriel Martinelli, 53. Nwaneri, 17. Zinchenko, 3. Tierney",Low
422,Arsenal - Possessions,2920.187877,2939.099301,Own third,Center,Middle third,Left flank,Medium,10-14,,,30,27,19,4-2-3-1,59,52,"15. Kiwior, 5. Partey, 11. Gabriel Martinelli, 53. Nwaneri, 17. Zinchenko, 3. Tierney",Low
423,Ball in play,2939.089301,2943.599776,Middle third,Right flank,Final third,Center,Short,4 or less,,,59,52,4,5-4-1,32,26,46. Robinson,Medium
424,Southampton - Possessions,2939.089301,2943.599776,Middle third,Right flank,Final third,Center,Short,4 or less,,,59,52,4,5-4-1,32,26,46. Robinson,Medium
